category_original,category_djinni,experience_original,experience_label,salary_min,salary_max,country,scrape_date,source
digital marketing,digital_marketing,Middle,2-3 роки,,,NL,2026-05-19,adzuna
digital marketing,digital_marketing,Senior,5+ років,,,NL,2026-05-19,adzuna
digital marketing manager,digital_marketing_manager,Middle,2-3 роки,,,NL,2026-05-19,adzuna
digital marketing manager,digital_marketing_manager,Senior,5+ років,,,NL,2026-05-19,adzuna
.net developer,dotnet,Middle,2-3 роки,,,NL,2026-05-19,adzuna
.net developer,dotnet,Senior,5+ років,,,NL,2026-05-19,adzuna
.net cloud developer,dotnet_cloud,Middle,2-3 роки,,,NL,2026-05-19,adzuna
.net cloud developer,dotnet_cloud,Senior,5+ років,,,NL,2026-05-19,adzuna
.net desktop developer,dotnet_desktop,Middle,2-3 роки,,,NL,2026-05-19,adzuna
.net desktop developer,dotnet_desktop,Senior,5+ років,,,NL,2026-05-19,adzuna
.net mobile developer,dotnet_mobile,Middle,2-3 роки,,,NL,2026-05-19,adzuna
.net mobile developer,dotnet_mobile,Senior,5+ років,,,NL,2026-05-19,adzuna
asp.net web developer,dotnet_web,Middle,2-3 роки,,,NL,2026-05-19,adzuna
asp.net web developer,dotnet_web,Senior,5+ років,,,NL,2026-05-19,adzuna
drupal developer,drupal,Middle,2-3 роки,,,NL,2026-05-19,adzuna
drupal developer,drupal,Senior,5+ років,,,NL,2026-05-19,adzuna
elixir developer,elixir,Middle,2-3 роки,,,NL,2026-05-19,adzuna
elixir developer,elixir,Senior,5+ років,,,NL,2026-05-19,adzuna
embedded software engineer,embedded,Middle,2-3 роки,3729.0,4520.0,NL,2026-05-19,adzuna
embedded software engineer,embedded,Senior,5+ років,3729.0,4520.0,NL,2026-05-19,adzuna
software engineering manager,engineering_manager,Middle,2-3 роки,,,NL,2026-05-19,adzuna
software engineering manager,engineering_manager,Senior,5+ років,,,NL,2026-05-19,adzuna
erp developer,erp_systems,Middle,2-3 роки,,,NL,2026-05-19,adzuna
erp developer,erp_systems,Senior,5+ років,,,NL,2026-05-19,adzuna
finance manager,finance_manager,Middle,2-3 роки,6215.0,8192.0,NL,2026-05-19,adzuna
finance manager,finance_manager,Senior,5+ років,6215.0,8192.0,NL,2026-05-19,adzuna
financial analyst,finances,Middle,2-3 роки,3785.0,5847.0,NL,2026-05-19,adzuna
financial analyst,finances,Senior,5+ років,3955.0,6043.0,NL,2026-05-19,adzuna
financial analyst,financial_analyst,Middle,2-3 роки,3785.0,5847.0,NL,2026-05-19,adzuna
financial analyst,financial_analyst,Senior,5+ років,3955.0,6043.0,NL,2026-05-19,adzuna
flutter developer,flutter,Middle,2-3 роки,,,NL,2026-05-19,adzuna
flutter developer,flutter,Senior,5+ років,,,NL,2026-05-19,adzuna
fullstack developer,fullstack,Middle,2-3 роки,,,NL,2026-05-19,adzuna
fullstack developer,fullstack,Senior,5+ років,3390.0,5876.0,NL,2026-05-19,adzuna
game designer,game_design,Middle,2-3 роки,3767.0,5179.0,NL,2026-05-19,adzuna
game designer,game_design,Senior,5+ років,4802.0,6121.0,NL,2026-05-19,adzuna
game developer,game_developer,Middle,2-3 роки,,,NL,2026-05-19,adzuna
